"","GV_6d_exp_value","6d_exp_value","6d_ref_exp_value"
"253823_at",6.34323173624728,6.18620305916827,6.47497473826433
"253824_at",5.66377878892855,5.71491271231391,5.66213269395546
"253825_at",7.59086983688842,7.44570156503694,7.59823793791835
"253826_s_at",12.6448743267144,12.6046140040226,12.7292428636667
"253827_at",4.79478323869002,4.15619636301153,4.73367130996392
"253828_at",6.72007333135264,6.62324000821464,6.68377345907261
"253829_at",4.60874014398424,4.77328860104649,4.9532493204781
"253830_at",7.38658815628251,6.65595030772568,7.05937557416248
"253831_at",3.24622941533472,3.26309202940417,3.21765159498815
"253832_at",5.22362287237025,3.89519854411527,4.64101960310731
"253833_at",3.69732401812864,3.65929244444621,3.50211889405344
"253834_at",9.13453678413876,8.6657141122168,9.03028486869592
"253835_at",5.04312286074302,4.79339431185115,5.13498376253138
"253836_at",5.96699110120918,5.85757190598263,6.02254478160515
"253837_at",3.87962612704747,4.37113517540776,4.30691833764494
"253838_at",7.83876787690442,7.6180582493918,7.72365230401919
"253839_at",3.92597416822629,3.99444337089939,4.09315483908522
"253840_at",7.47381408697957,7.27458707712961,7.35750496301137
"253841_at",8.45469716451906,8.0449223291849,8.32635900307514
"253842_at",6.1564572026175,6.61606830668346,6.50696466915796
"253843_at",6.05875663516856,6.13224066498432,6.12630576505477
"253844_at",3.19869307950834,3.20052510343001,3.23024830167691
"253845_at",3.77775151486192,3.72547455926947,3.65066514717588
"253846_at",3.93720274206177,3.94508457772282,4.00685533172437
"253847_at",3.27838820000438,3.40815158419309,3.37398521904406
"253848_at",6.22055835083779,6.26738243797582,6.13997494261712
"253849_at",7.65170798441369,7.6599414843449,7.75053339012452
"253850_at",4.01256798383466,3.8420417083269,4.02281820100154
"253851_at",4.56420768426821,3.74919089828814,4.30101008647382
"253852_at",3.55794255413711,3.43136346316239,3.60077481130846
"253853_at",3.09292013240992,3.05457050729669,3.0284819790691
"253854_at",7.81879793505013,7.64181852738555,7.93485275881956
"253855_at",8.18635885181767,8.08640746236191,7.98914575963333
"253856_at",6.50596215617854,6.75447898244673,6.84578675098612
"253857_at",7.45568014390446,7.03762464184105,7.1630711614039
"253858_at",7.5934110583934,7.47647723610674,7.6758908294913
"253859_at",3.3416880430509,3.24659710964396,3.20987276997949
"253860_at",8.11834566656403,7.86022634234307,8.19276555867734
"253861_at",7.67098330932719,7.83178961115416,7.70043570560332
"253862_at",3.86704880336358,3.84093279048369,3.85871650414796
"253863_at",4.0690893124501,4.10863393992862,4.09633040995088
"253864_at",4.9206947924618,4.68807613734434,4.29027993974362
"253865_at",8.54232945329137,8.02358233665328,8.62458215429103
"253866_at",5.74439088269157,5.40548546862892,5.82808697041747
"253867_at",6.02087545741485,6.35184058675021,5.97504844641037
"253868_at",10.4554185345105,10.5407480538706,10.3871014409339
"253869_at",4.24201742758785,4.76513719372671,4.27303638637348
"253870_at",3.32204784497449,3.30983855669547,3.25015860142105
"253871_at",10.9153888064018,10.4283328620618,10.6554675507059
"253872_at",6.35445208912217,4.94253136106305,5.59778489415026
"253873_at",5.89970824867861,6.04169554006084,5.94241841350232
"253874_at",10.4974457426943,10.9117453482786,11.4079747997344
"253875_at",8.50574510700161,8.72324521888616,8.28379829282364
"253876_at",9.45418119959997,9.06993660598728,9.39507924121207
"253877_at",10.9677245867333,10.5470248047839,10.8467308359518
"253878_at",3.3410072688079,3.37534839816529,3.2879656194195
"253879_s_at",9.35013677713416,9.28932206570342,9.03416165955559
"253880_at",6.3720193532117,7.37614281343816,6.31717379685213
"253881_at",6.58999587910232,6.84868060879216,6.89533679755016
"253882_at",7.78682951698744,7.77560931443086,7.86447061775876
"253883_at",4.8142326414789,5.34216530682741,4.70834951580142
"253884_at",3.88242927803566,3.74178411819829,3.85581193547034
"253885_at",8.20982853803411,8.13412861655316,8.1196244872105
"253886_at",7.70929101291855,7.51576399241379,7.73403819286868
"253887_at",6.1505560900722,6.17883896557262,6.41408492494361
"253888_at",8.88896938504714,8.79085507736518,8.82898269545874
"253889_at",7.43084111010104,7.38247199517667,7.55521603543176
"253890_s_at",7.19227432781945,7.71657969932007,7.26473318960328
"253891_at",8.98974512439847,8.78584106318267,8.88644319927857
"253892_at",6.20938433526619,5.95803229127805,5.96992283714075
"253893_at",6.05187870567889,5.8788952480367,6.05782106665263
"253894_at",2.64302395362944,2.57436252640204,2.68846674036747
"253895_at",3.11834059236282,3.09943156669711,3.11859381811901
"253896_at",3.14169029323536,3.18228193419158,3.23477987969425
"253897_at",7.76754743793762,7.72817808064469,7.69952830233313
"253898_s_at",9.11580454959669,9.51633464359684,9.65588715792834
"253899_at",8.02849354457966,8.40209638821386,8.05786508186943
"253900_at",10.2832798980901,10.1943515836714,10.1891699207781
"253901_at",11.71722946433,11.930839718008,11.7579914562583
